DISTANCE,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,MONTH
10,20272,KAH,Kenmore Air Harbor,14477,RCE,16599,YBW,8
12,20166,GFQ,Gulf And Caribbean Cargo,11024,CJS,11540,ELP,4
12,20372,KLQ,Kalitta Charters II,11024,CJS,11540,ELP,4
12,20201,AMQ,Ameristar Air Cargo,11024,CJS,11540,ELP,4
17,20272,KAH,Kenmore Air Harbor,14477,RCE,16233,YWH,4
17,20272,KAH,Kenmore Air Harbor,16233,YWH,14477,RCE,3
17,20272,KAH,Kenmore Air Harbor,16233,YWH,14477,RCE,8
18,21652,27Q,"Jet Aviation Flight Services, Inc.",15210,TIJ,14679,SAN,1
19,20272,KAH,Kenmore Air Harbor,11646,FBS,16233,YWH,4
19,20272,KAH,Kenmore Air Harbor,11646,FBS,16233,YWH,7
19,20272,KAH,Kenmore Air Harbor,16233,YWH,11646,FBS,8
19,20272,KAH,Kenmore Air Harbor,16233,YWH,11646,FBS,1
19,20272,KAH,Kenmore Air Harbor,16233,YWH,11646,FBS,3
19,20272,KAH,Kenmore Air Harbor,16233,YWH,11646,FBS,12
20,20272,KAH,Kenmore Air Harbor,16263,YYJ,11762,FRD,1
21,20272,KAH,Kenmore Air Harbor,11646,FBS,16263,YYJ,3
22,20272,KAH,Kenmore Air Harbor,16603,DHB,16233,YWH,6
24,20272,KAH,Kenmore Air Harbor,11588,ESD,16263,YYJ,1
29,20253,9K,Cape Air,11519,EIS,15024,STT,8
29,20253,9K,Cape Air,15024,STT,11519,EIS,8
29,20253,9K,Cape Air,11519,EIS,15024,STT,7
29,20253,9K,Cape Air,15024,STT,11519,EIS,7
29,20253,9K,Cape Air,11519,EIS,15024,STT,6
29,20253,9K,Cape Air,15024,STT,11519,EIS,6
29,20253,9K,Cape Air,11519,EIS,15024,STT,9
29,20253,9K,Cape Air,15024,STT,11519,EIS,9
29,20253,9K,Cape Air,11519,EIS,15024,STT,1
29,20253,9K,Cape Air,15024,STT,11519,EIS,1
29,20253,9K,Cape Air,11519,EIS,15024,STT,11
29,20253,9K,Cape Air,15024,STT,11519,EIS,11
29,21080,04Q,Tradewind Aviation,11519,EIS,15024,STT,1
29,21080,04Q,Tradewind Aviation,15024,STT,11519,EIS,1
29,20253,9K,Cape Air,11519,EIS,15024,STT,5
29,20253,9K,Cape Air,15024,STT,11519,EIS,5
29,20253,9K,Cape Air,11519,EIS,15024,STT,4
29,20253,9K,Cape Air,15024,STT,11519,EIS,4
29,20253,9K,Cape Air,11519,EIS,15024,STT,10
29,20253,9K,Cape Air,15024,STT,11519,EIS,10
29,20253,9K,Cape Air,11519,EIS,15024,STT,2
29,20253,9K,Cape Air,15024,STT,11519,EIS,2
29,20253,9K,Cape Air,11519,EIS,15024,STT,3
29,20253,9K,Cape Air,15024,STT,11519,EIS,3
29,20253,9K,Cape Air,11519,EIS,15024,STT,12
29,20253,9K,Cape Air,15024,STT,11519,EIS,12
30,20201,AMQ,Ameristar Air Cargo,16091,YIP,16166,YQG,6
30,20201,AMQ,Ameristar Air Cargo,16166,YQG,16091,YIP,6
31,20272,KAH,Kenmore Air Harbor,16058,YGG,11646,FBS,11
37,20253,9K,Cape Air,15024,STT,15598,VIJ,8
37,20253,9K,Cape Air,15598,VIJ,15024,STT,8
37,20253,9K,Cape Air,15024,STT,15598,VIJ,7
37,20253,9K,Cape Air,15598,VIJ,15024,STT,7
37,20253,9K,Cape Air,15024,STT,15598,VIJ,6
37,20253,9K,Cape Air,15598,VIJ,15024,STT,6
37,20253,9K,Cape Air,15024,STT,15598,VIJ,9
37,20253,9K,Cape Air,15598,VIJ,15024,STT,9
37,20253,9K,Cape Air,15024,STT,15598,VIJ,11
37,20253,9K,Cape Air,15598,VIJ,15024,STT,11
37,20253,9K,Cape Air,15024,STT,15598,VIJ,5
37,20253,9K,Cape Air,15598,VIJ,15024,STT,5
37,20253,9K,Cape Air,15024,STT,15598,VIJ,4
37,20253,9K,Cape Air,15598,VIJ,15024,STT,4
37,20253,9K,Cape Air,15024,STT,15598,VIJ,10
37,20253,9K,Cape Air,15598,VIJ,15024,STT,10
37,20253,9K,Cape Air,15024,STT,15598,VIJ,12
37,20253,9K,Cape Air,15598,VIJ,15024,STT,12
40,21352,0WQ,Avjet Corporation,16229,YVR,10666,BLI,8
40,21439,14Q,London Air Services Limited,16229,YVR,10666,BLI,5
40,20272,KAH,Kenmore Air Harbor,16229,YVR,14477,RCE,7
40,20272,KAH,Kenmore Air Harbor,16229,YVR,14477,RCE,1
40,20272,KAH,Kenmore Air Harbor,14477,RCE,16229,YVR,6
